area_council,ward,community,sector,role_in_community,other_role_in_community,sex,age_in_completed_years,marital_status,occupation,other_occupation,physical_challenge,deaf,dumb,cripple,blind,amputee,has_other_physical_challenge,other_physical_challenge,community_existence,duration_in_community,community_duration_months,condition_of_roads,movement_easy_convenient,movement_difficult_inconvenient,transport_fare_high,too_many_accidents,public_power_supply,other_sources_of_electricity,hours_of_public_power,effect_of_power_condition,public_water_supply,private_boreholes,water_vendors,stream,hand_dug_wells,harvested_rain,most_impacted_by_water_supply,other_impacted_water_supply,healthcare_facility,teaching_hospital,specialist_hospital,private_hospital,maternity_health_center_or_dispensary,herbal_homes_traditional_birth_attendance,public_primary_healthcare_facility,functional_public_healthcare_facility,healthcare_residents_go_out_of_community,healthcare_increased_complications,healthcare_other_effect,healthcare_other_effect_non_functional,educational_institution,public_nursery_school,private_nursery_school,public_primary_school,private_primary_school,public_secondary_school,private_secondary_school,colleges_of_education_or_teacher_training,universities_polytechnics_research_institutions,other_types_educational_instutitions,other_educational_institutions,education_children_travel_long_distance,education_additional_costs,education_increased_danger_exposure,waste_mangement_system,who_manages_waste,waste_high_incidence_injury,waste_offensive_odour,waste_prevalence_of_diseases,waste_other_effects,other_waste_management_absence,services_supermarkets_departmental_stores,services_daily_markets,services_scheduled_markets,services_mobile_telephone_services,services_business_centres,services/Type_of_Services/hair_styling_t,services_fast_food_joints,services_other,services_other_services,services_market_available,market_facilities_access_roads,market_facilities_electricity,market_facilities_toilets,market_facilities_motor_parks,market_facilities_waste_refuse_dump,market_facilities_other,other_market_facilities,market_absence_effect_travel_long_distance,market_absence_effect_low_patronage,market_absence_effect_more_spent_to_markets,market_absence_effect_high_patronage,mtn_present,mtn_signal_strength,glo_present,glo_signal_strength,etisalat_present,etisalat_signal_strength,airtel_present,airtel_signal_strength,visafone_present,visafone_signal_strength,has_other_network,other_network_name,other_network_signal_strength,involved_in_budget_process,community_access_to_budget_document,respondent_awareness_of_project_in_budget,name_of_project_in_budget,project_in_budget_monitor_implementation,project_in_budget_ask_questions,project_in_budget_do_nothing,project_in_budget_get_media_attention,area_council_budget_community_writes_needs,area_council_budget_coummunity_consultation,area_council_budget_other,area_council_budget_other_ways,project_implemented_due_to_request,name_project_implemented_due_to_request,community_briefing_on_development,months_since_last_community_briefing,cda_present,cda_initiates_meetings_with_area_council,cda_writes_to_area_councils,cda_never_contacted_area_council,area_councils_initiate_meetings_with_cda,cda_work_with_area_council_other,other_cda_work_with_area_council,cda_gender_composition,priority_need_to_community,other_priority_need_to_community,gps_location_of_community,community_latitude,community_longitude,community_altitude,gps_precision,today,submission_time,submission_date
amac,city_centre,o.v.a_camp_2,urban,youth_leader,n/a,male,31,single,business,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,11_to_15,n/a,fully_tarred,True,False,False,False,yes,n/a,19_to_23,household_management,yes,n/a,n/a,n/a,n/a,n/a,no_or_low_incidence_diseases,n/a,yes,False,True,False,False,False,False,yes,n/a,n/a,n/a,n/a,yes,True,True,True,True,True,True,False,False,False,n/a,n/a,n/a,n/a,yes,government,n/a,n/a,n/a,n/a,n/a,True,True,False,True,True,True,True,False,n/a,yes,True,True,False,True,True,False,n/a,n/a,n/a,n/a,n/a,yes,strong,yes,weak,yes,strong,yes,weak,no,n/a,no,n/a,n/a,no,no,don_t_know,n/a,False,False,True,False,True,False,False,n/a,don_t_know,n/a,don_t_know,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,water,n/a,9.0870542 7.499176 0.0 1399.999,9.0870542,7.499176,0,1399.999,2016-08-01,2016-08-01T14:05:39,2016-08-01
amac,city_centre,area_2,urban,ordinary_member,n/a,male,52,married,civil_service,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,21_to_25,n/a,fully_tarred,True,False,False,False,yes,n/a,13_to_18,household_management,yes,n/a,n/a,n/a,n/a,n/a,no_or_low_incidence_diseases,n/a,yes,False,False,True,True,False,True,yes,n/a,n/a,n/a,n/a,yes,False,True,True,True,True,True,False,False,False,n/a,n/a,n/a,n/a,yes,government,n/a,n/a,n/a,n/a,n/a,True,True,False,False,True,False,True,False,n/a,yes,True,True,False,True,True,False,n/a,n/a,n/a,n/a,n/a,yes,strong,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,n/a,no,no,no,n/a,False,False,True,False,False,False,True,Do Nothing,don_t_know,n/a,no,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,waste_management,n/a,9.033696666666666 7.477836666666667 458.2 6.5,9.0336966667,7.4778366667,458.2,6.5,2016-08-01,2016-08-01T14:10:58,2016-08-01
amac,city_centre,o.v.a_camp_2,urban,ordinary_member,n/a,female,29,married,business,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,6_to_10,n/a,fully_tarred,True,False,False,False,yes,n/a,19_to_23,household_management,yes,n/a,n/a,n/a,n/a,n/a,no_or_low_incidence_diseases,n/a,yes,False,True,True,True,False,False,yes,n/a,n/a,n/a,n/a,yes,True,True,True,True,True,True,False,False,False,n/a,n/a,n/a,n/a,yes,government,n/a,n/a,n/a,n/a,n/a,True,True,False,True,True,True,True,False,n/a,yes,True,True,True,True,True,False,n/a,n/a,n/a,n/a,n/a,yes,strong,yes,weak,yes,strong,yes,weak,no,n/a,no,n/a,n/a,don_t_know,no,don_t_know,n/a,False,True,False,False,True,False,False,n/a,don_t_know,n/a,no,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,water,n/a,n/a,n/a,n/a,n/a,n/a,2016-08-01,2016-08-01T14:12:14,2016-08-01
amac,city_centre,area_2,urban,youth_leader,n/a,male,35,single,business,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,11_to_15,n/a,fully_tarred,True,False,False,False,yes,n/a,7_to_12,commercial_activities,yes,n/a,n/a,n/a,n/a,n/a,no_or_low_incidence_diseases,n/a,yes,False,False,True,True,False,True,yes,n/a,n/a,n/a,n/a,yes,False,True,False,True,False,True,False,False,False,n/a,n/a,n/a,n/a,yes,government,n/a,n/a,n/a,n/a,n/a,True,True,False,False,True,True,True,False,n/a,yes,True,True,True,False,True,False,n/a,n/a,n/a,n/a,n/a,yes,strong,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,n/a,no,no,yes,Neighborhood Primary School,False,False,True,False,False,False,True,During Political Campaign,no,n/a,no,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,other,Children playing ground,9.036136666666666 7.477713333333332 488.4 7.1,9.0361366667,7.4777133333,488.4,7.1,2016-08-01,2016-08-01T14:13:01,2016-08-01
amac,city_centre,o.v.a_camp_2,urban,ordinary_member,n/a,male,20,single,student,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,born_here,16_to_20,n/a,fully_tarred,True,False,False,False,yes,n/a,19_to_23,household_management,yes,n/a,n/a,n/a,n/a,n/a,punctuality,n/a,yes,False,True,True,False,False,False,yes,n/a,n/a,n/a,n/a,yes,False,True,False,True,False,True,False,False,False,n/a,n/a,n/a,n/a,yes,waste_manager_engaged,n/a,n/a,n/a,n/a,n/a,True,True,False,True,True,True,True,False,n/a,yes,True,True,True,True,True,False,n/a,n/a,n/a,n/a,n/a,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,no,n/a,n/a,no,no,no,n/a,False,False,True,False,False,False,True,Not aware,no,n/a,don_t_know,n/a,yes,False,False,False,False,True,Don't know,men_and_women,power,n/a,n/a,n/a,n/a,n/a,n/a,2016-08-01,2016-08-01T14:16:55,2016-08-01
kuje,chibiri,chukuku,rural,women_leader,n/a,female,38,married,business,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,born_here,30_or_more,n/a,non_graded,False,True,False,False,no,generators,n/a,food_preservation,no,False,False,True,True,True,lot_money_buying_water,n/a,no,False,False,False,True,True,False,no,True,False,False,n/a,yes,False,False,True,False,True,False,False,False,False,n/a,n/a,n/a,n/a,no,n/a,False,True,False,False,n/a,False,True,True,False,False,True,False,False,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,True,False,yes,strong,yes,strong,no,n/a,no,n/a,no,n/a,no,n/a,n/a,no,no,no,n/a,False,False,True,False,False,False,True,stable contribution,no,n/a,don_t_know,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,power,n/a,8.8225909 7.2788437 0.0 2383.0,8.8225909,7.2788437,0,2383,2016-08-01,2016-08-01T14:25:59,2016-08-01
gwagwalada,gwagwalada_centre,angwan_dodo,rural,women_leader,n/a,female,30,married,business,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,born_here,26_to_30,n/a,non_graded,False,True,False,False,no,generators,n/a,household_management,no,True,True,False,False,False,lot_money_buying_water,n/a,yes,False,False,False,False,False,True,yes,n/a,n/a,n/a,n/a,yes,False,False,True,False,False,False,False,False,False,n/a,n/a,n/a,n/a,no,n/a,False,True,True,False,n/a,False,True,False,False,False,True,True,False,n/a,yes,False,False,False,False,True,False,n/a,n/a,n/a,n/a,n/a,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,no,n/a,n/a,no,no,no,n/a,False,False,True,False,True,False,False,n/a,no,n/a,no,n/a,yes,True,False,False,False,False,n/a,men_and_women,power,n/a,n/a,n/a,n/a,n/a,n/a,2016-08-01,2016-08-01T14:58:05,2016-08-01
gwagwalada,gwagwalada_centre,angwan_dodo,rural,ordinary_member,n/a,male,28,married,business,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,born_here,26_to_30,n/a,non_graded,False,True,False,False,no,none_of_the_above,n/a,household_management,no,True,False,False,True,False,high_incidence_diseases,n/a,yes,False,False,False,False,False,True,yes,n/a,n/a,n/a,n/a,yes,True,False,True,True,False,False,False,False,False,n/a,n/a,n/a,n/a,no,n/a,False,True,True,False,n/a,True,False,False,False,False,True,True,False,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,False,True,False,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,no,n/a,n/a,don_t_know,no,don_t_know,n/a,False,True,False,False,True,False,False,n/a,don_t_know,n/a,don_t_know,n/a,yes,False,True,False,False,False,n/a,all_men,power,n/a,n/a,n/a,n/a,n/a,n/a,2016-08-01,2016-08-01T14:58:10,2016-08-01
gwagwalada,gwagwalada_centre,ungwan_bassa,rural,youth_leader,n/a,male,35,married,farming,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,born_here,30_or_more,n/a,non_graded,False,True,True,False,yes,n/a,1_to_6,household_management,no,True,False,True,False,False,long_distance_water_search,n/a,no,False,False,False,False,True,False,no,True,False,False,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,False,True,no,n/a,False,True,True,False,n/a,False,False,False,False,False,True,False,False,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,False,True,False,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,no,n/a,n/a,don_t_know,no,don_t_know,n/a,False,True,False,False,True,False,False,n/a,yes,Transformer,no,n/a,yes,False,True,False,False,False,n/a,more_men,water,n/a,n/a,n/a,n/a,n/a,n/a,2016-08-01,2016-08-01T14:58:16,2016-08-01
gwagwalada,gwagwalada_centre,ungwan_bassa,rural,ordinary_member,n/a,female,16,single,student,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,1_to_5,n/a,non_graded,False,True,True,False,yes,n/a,1_to_6,household_management,no,True,True,True,False,False,long_distance_water_search,n/a,no,False,False,False,False,True,False,no,True,True,False,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,False,True,no,n/a,False,True,True,False,n/a,False,False,False,False,False,True,False,False,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,False,True,False,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,no,n/a,n/a,don_t_know,no,don_t_know,n/a,False,False,True,False,True,False,False,n/a,don_t_know,n/a,don_t_know,n/a,yes,True,False,False,False,False,n/a,all_women,waste_management,n/a,n/a,n/a,n/a,n/a,n/a,2016-08-01,2016-08-01T14:58:21,2016-08-01
gwagwalada,staff_quarters,phase_3,urban,ordinary_member,n/a,male,63,married,civil_service,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,21_to_25,n/a,dilapidated,True,False,False,False,yes,n/a,1_to_6,household_management,yes,n/a,n/a,n/a,n/a,n/a,no_or_low_incidence_diseases,n/a,no,False,False,True,False,False,False,no,True,True,False,n/a,yes,True,True,True,True,True,True,False,False,False,n/a,n/a,n/a,n/a,yes,government,n/a,n/a,n/a,n/a,n/a,False,False,False,True,False,True,False,False,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,False,False,False,yes,strong,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,n/a,no,no,don_t_know,n/a,False,True,False,False,True,False,False,n/a,don_t_know,n/a,no,n/a,yes,True,True,False,False,False,n/a,men_and_women,market,n/a,8.95238 7.06958 204.8 5.0,8.95238,7.06958,204.8,5,2016-08-01,2016-08-01T14:58:58,2016-08-01
gwagwalada,staff_quarters,phase_3,urban,ordinary_member,n/a,female,50,married,civil_service,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,26_to_30,n/a,dilapidated,True,True,False,True,yes,n/a,1_to_6,food_preservation,yes,n/a,n/a,n/a,n/a,n/a,no_or_low_incidence_diseases,n/a,no,False,False,True,False,False,False,no,True,True,False,n/a,yes,False,True,True,True,True,True,False,False,False,n/a,n/a,n/a,n/a,yes,government,n/a,n/a,n/a,n/a,n/a,False,False,False,False,False,True,False,False,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,False,True,False,yes,strong,yes,weak,yes,weak,yes,strong,no,n/a,no,n/a,n/a,don_t_know,no,don_t_know,n/a,False,False,True,False,True,False,False,n/a,don_t_know,n/a,don_t_know,n/a,yes,False,True,False,False,False,n/a,men_and_women,power,n/a,8.958921666666667 7.065108333333334 192.1 4.9,8.9589216667,7.0651083333,192.1,4.9,2016-08-01,2016-08-01T14:59:20,2016-08-01
gwagwalada,staff_quarters,phase_1,urban,other,Director of social,male,27,single,business,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,born_here,26_to_30,n/a,dilapidated,False,True,False,False,yes,n/a,1_to_6,food_preservation,yes,n/a,n/a,n/a,n/a,n/a,high_incidence_diseases,n/a,no,False,False,False,False,True,False,no,True,True,False,n/a,yes,False,True,False,True,False,False,False,True,False,n/a,n/a,n/a,n/a,no,n/a,True,True,True,False,n/a,True,True,False,False,True,True,False,False,n/a,yes,True,True,False,False,False,False,n/a,n/a,n/a,n/a,n/a,yes,strong,yes,weak,yes,weak,yes,weak,yes,weak,no,n/a,n/a,don_t_know,no,don_t_know,n/a,False,False,True,False,True,False,False,n/a,don_t_know,n/a,don_t_know,n/a,yes,False,False,True,False,False,n/a,men_and_women,access_road,n/a,8.947886666666667 7.080025000000001 185.4 4.7,8.9478866667,7.080025,185.4,4.7,2016-08-01,2016-08-01T14:59:40,2016-08-01
